,Well_ID,"X, m","Y, m","Depth, m","Porosity, fraction","Permeability, mD","Acoustic Impedance, kg*s/m^2","Density, g/cm3","Compressible velocity, m/s","Youngs modulus, GPa","Shear velocity, m/s","Shear modulus, GPa",Vclay,"Cumulative oil production (1 yr), MSTB","Cumulative oil production (2 yr), MSTB","Cumulative oil production (3 yr), MSTB","Cumulative Water production (1 yr), MSTB","Cumulative Water production (2 yr), MSTB","Cumulative Water production (3 yr), MSTB"
0,Well_no_1,7325,7175,3057.550000000001,0.13342555555555555,115.09914250723088,7221833.849134934,2.1418760811823048,3392.897466359203,25.333610557680544,1656.8446493199842,6.1921360872764355,0.13333499999999998,450.98,684.2,847.33,494.89,1236.4,2108.7
1,Well_no_10,3725,1575,3057.82,0.11265368421052631,74.65125094793275,7474488.833664524,1.8270843801435417,4038.6792488335036,30.218812735179092,1682.6598279385373,5.592100706057469,0.3999800000000001,229.35,388.35,518.27,222.51,528.21,880.8
2,Well_no_11,4275,5675,3050.4700000000007,0.12855611111111112,92.8942872707235,7286663.583290229,2.0869638548824048,3527.987993246782,26.44618548956821,1681.9601010581403,6.187105716695752,0.233325,512.8,791.55,978.14,189.4,589.27,1120.3
3,Well_no_12,1625,3775,3057.7973684210515,0.1263194444444444,108.87538447946285,7324012.308,1.9181217388281548,3841.739107385807,29.032313349455983,1627.5070096771335,5.216026025139553,0.28068947368421054,422.81,659.42,840.47,380.47,987.1,1714.1
4,Well_no_13,5175,8875,3058.566315789474,0.13738875,105.816837351452,7299269.698740657,2.0777616327630053,3742.8590297691417,26.852747225092198,1667.159259409734,5.869176777188377,0.17543684210526314,357.06,569.71,732.29,536.04,1243.1,2049.9
5,Well_no_14,3075,8225,3057.550000000001,0.12636062499999998,105.39777889469276,7282106.687532638,1.9366445260133804,3926.2973088104504,29.114972349629145,1699.0112518906135,5.240491493791971,0.28332500000000005,472.57,723.88,897.16,440.96,1148.4,2003.3
6,Well_no_15,1925,5875,3055.902105263157,0.10726250000000001,61.512571825749575,7447331.008689714,1.7601424143087794,4378.611914631964,31.616025642664955,1645.0794363882285,5.174300509768704,0.42103157894736853,183.76,289.93,375.02,133.43,347.43,599.44
7,Well_no_16,4775,9475,3059.739999999999,0.12373625,92.27507345078142,7351935.622968318,2.263999115052716,3422.8575014702183,25.775642439712822,1670.309572772873,6.262827775284955,0.28332999999999997,275.73,460.3,608.09,708.08,1531.5,2435.5
8,Well_no_17,5725,6275,3052.0,0.13548111111111108,136.40541404425383,7319559.983240135,2.210916395616511,3479.125123916948,24.955356776109234,1647.2286749085029,6.223443967946738,0.21666499999999997,596.15,882.17,1062.1,211.7,651.45,1238.0
9,Well_no_18,2625,2375,3057.309999999999,0.10886944444444442,85.7493682238209,7442048.825945963,1.8368365220469292,4165.936496562656,30.736842518855056,1657.6046011820438,4.993957928734917,0.36665500000000006,300.81,470.42,597.31,318.22,807.52,1392.3
10,Well_no_19,3475,6925,3053.410000000001,0.12617352941176468,94.61597366861906,7318624.342495995,1.9143139302896492,3912.6108664185267,28.37973943505774,1672.3925430308768,5.328446072417615,0.28332,451.52,669.82,817.74,275.29,790.33,1439.1
11,Well_no_2,4225,3525,3052.5400000000004,0.12888473684210525,119.37699966207074,7316417.872133462,2.1449409695353103,3568.8216210328674,25.431613660154337,1682.0605224991043,6.466949811586774,0.28332500000000005,594.43,946.61,1201.2,226.97,646.5,1187.7
